tutorial_galaxy_autopilot_3	Una nueva orden para ir al Hogar ha sido creada.\nAhora arrastra la nave de nuevo hacia Tutoland. Recuerda que puedes mover ventanas desde su barra de título si bloquean tu objetivo.	2016-07-03T20:30:59.196653	A new order has been created for visiting Home.\nNow drag it again to Tutoland. Remember you can move windows around by their title bar if they block your target.
tutorial_galaxy_autopilot_4	Ahora haz clic en el botón Iniciar para empezar la ruta. La nave viajará sin que intervengas, se cargará automáticamente y entregará la carga cuando visite el Hogar.	2016-07-03T20:30:59.196653	Now click on the start button to start the route. The ship will travel without your intervention, automatically loading cargo and delivering it when it visits Home.
tutorial_galaxy_autopilot_5	¡Eso es! Puedes probar otras opciones. Puede ser una buena idea aumentar el tiempo de espera en la estación seleccionando la orden de Hogar y haciendo clic en el botón del reloj de arena para dar a tus oficiales más tiempo para descansar.	2016-07-03T20:30:59.196653	That's it! You can explore the other options. It may be a good idea to increase the wait time while in the station by selecting the Home order and clicking on the hourglass button, to give your officers more time to rest.
tutorial_galaxy_autopilot_6	[DEV] Aún no hay mecanismo en el juego para desbloquear nuevos sistemas estelares . Por ahora utiliza el botón de truco en la vista del sistema para desbloquearlos.	2016-07-03T20:30:59.196653	[DEV] There's not mechanism in-game for unlocking new star systems. For now use the cheat button in the system view to unlock them.
tutorial_galaxy_basics_1	Ah, la galaxia. Hay mucho por explorar. ¡Puede ser abrumador! Vamos a empezar poco a poco.\nEsta es la vista general de la galaxia. Puedes hacer clic en las estrellas para hacer zoom en su sistema planetario . Por ahora solo tu sistema principal está desbloqueado para viajar . Haz click en el.	2016-07-03T20:30:59.196653	Ah, the galaxy. So much to explore. It can be overwhelming! Let's start small.\nThis is the top level galaxy view. You can click on the stars to zoom into their planetary system. For now only your home system is open for travel. Click on it.
tutorial_galaxy_basics_2	Por ahora, el foco principal de la galaxia es ser tu fuente de recursos primarios para  tus fábricas y cocinas. El filtro de Recursos mostrará los recursos disponibles en un planeta para que puedas planificar su exploración y controlar su producción.	2016-07-03T20:30:59.196653	At this stage, the main focus for the galaxy is to be your source of raw resources for your factories and kitchens. The Resources overlay will display the available resources in a planet, so you can plan your exploration and monitor their production.
tutorial_galaxy_basics_4	Espera a que el nave se acerque y entre en órbita alrededor del planeta	2016-07-03T20:30:59.196653	Wait for the ship to approach and park in orbit around the planet.
tutorial_galaxy_basics_5	¡Vamos a explorar este planeta! Haz clic en Tutoland.	2016-07-03T20:30:59.196653	Let's explore this planet! Click on Tutoland.
tutorial_galaxy_basics_6	Para explorar el planeta haz clic en el botón Explorar. Cambiarás a la pantalla Planeta y podrás empezar los tutoriales básicos de planeta.	2016-07-03T20:30:59.196653	To explore the planet click on the Explore button. You will switch to the planet screen and you can start the basic planet tutorials there.
tutorial_galaxy_basics_7	Esas son las cosas básicas. Asegúrate de seguir con el tutorial de extracción en planeta, a continuación, y luego haz el tutorial de piloto automático aquí. Haz clic en Menú.	2016-07-03T20:30:59.196653	That's it for the basics. Make sure you follow the Extraction tutorial on the planet, then try the Autopilot tutorial here. Click Menu now.
tutorial_menu_goals_hint	Consejo: Si has terminado con los tutoriales revisa los Objetivos en la barra de herramientas superior.	2016-07-03T20:30:59.196653	Tip: If you are done with tutorials check the Goals in the top toolbar.
tutorial_planet_basics_1	¡Has aterrizado en el planeta tutorial!\nLos planetas son tu principal fuente de recursos, por lo que son vitales para tu supervivencia. Visita nuevos planetas para encontrar todo tipo de recursos	2016-07-03T20:30:59.196653	So you've landed on the tutorial planet!\nPlanets are your main source of resources, so they are vital for your survival. Visit new planets to find all kinds of resources.\n[DEV]FUTURE also mention: civs, tourism, tech tokens.
tutorial_planet_basics_6	La barra de equipo está encima de tu barra de acción . Al hacer clic en el botón Todos en el lado derecho se selecciona todo tu equipo, y la siguiente orden de acción que des se aplicará a todos los miembros del equipo. El botón Todos está asociado de forma predeterminada a [Tab] y se puede utilizar de forma rápida desde cualquier otra herramienta.	2016-07-03T20:30:59.196653	The squad bar is on top of your action bar. By clicking on the All button in the right side it selects your entire squad, and the next action order you give will apply to every squad member. The All button is bound by default to [Tab] and can be quickly used while inside any other tool.
tutorial_planet_extraction_1	Vamos a construir un extractor de recursos. Estos edificios persisten en la superficie del planeta y generarán periódicamente recursos listos para ser recogidos por tus naves. Debes construirlos cerca de uno o más nodos de recursos para que estos queden dentro de su área de influencia. Selecciona la herramienta de construcción.	2016-07-03T20:30:59.196653	Let's build a resource extractor. These buildings persist on the surface of the planet, and will periodically generate resources ready to be picked up by your space ships. You must build them near one or resource nodes, so the nodes are inside their area of influence. Select the build tool.
tutorial_planet_extraction_4	Ahora el objeto debe ser construido por tus oficiales. Habrá que esperar a que terminen el trabajo. Recuerda que puedes utilizar la herramienta de teletransporte si han aterrizado lejos del objeto en construcción.	2016-07-03T20:30:59.196653	The object must now be built by your officers. Let's wait for them to finish the job. Remember you can use the teleport tool if they landed far from the object under construction.
tutorial_planet_extraction_5	¡Eso es! Ahora este extractor generará frutos que serán almacenados localmente. Viaja a este planeta para cargarlos en una nave y usa la función de piloto automático en la galaxia para automatizar la entrega a tu estación .	2016-07-03T20:30:59.196653	That's it! This extractor will now generate fruits and they will get stored locally. Park on this planet to load them into a space ship, and use the autopilot feature in the galaxy to automate the delivery to your station.
tutorial_research_basics_1	Esta es la pantalla de Investigación . Hay muchos tipos de tecnología en la galaxia, pero no todos ellos están disponibles desde el principio. Debes de investigarlos, y esta pantalla te permite gestionar esa investigación.	2016-07-03T20:30:59.196653	This is the Research screen. There's many technologies in the galaxy, but not all of them are available to you at the start. You must research them, and this screen allows you to manage that research.
tutorial_research_basics_2	La investigación se divide en grupos tecnológicos. Veamos el grupo de Alimentos y bebidas haciendo clic en el botón.	2016-07-03T20:30:59.196653	Research is divided into technology groups. Let's see the Food & drink group by clicking on its button.
tutorial_research_basics_3	Podemos ver los niveles de tecnología para el grupo de alimentos y bebidas. Alcanzar cada nivel puede desbloquear nuevas recetas y/u objetos para construir en la estación . Haz clic en Iniciar Investigación para declarar este nivel como el nivel de investigación actual.	2016-07-03T20:30:59.196653	We can see the tiers for food & drink technology. Reaching each tier can unlock new recipes and/or objects to build in the station. Let's click on Start Research to declare that tier as the current research tier.
tutorial_research_basics_4	Este nivel es ahora el foco de investigación en tu estación. Pero esto es sólo la pantalla de gestión para tus investigaciones. También es necesario construir la infraestructura necesaria en tu estación y asignar a los oficiales que investiguen .	2016-07-03T20:30:59.196653	The tier is now the focus of the research in your station. But this is just the management screen for your research projects. You also need to build up research infrastructure in your station and assign officers to research.
tutorial_research_basics_5	Asegúrate de construir un montón de mesas de investigación y habilitar el trabajo de investigación en tus oficiales utilizando la matriz de trabajos para ganar puntos de investigación. Cuando el contador de puntos llegue a la cantidad requerida del nivel será desbloqueado.	2016-07-03T20:30:59.196653	Make sure you build plenty of research tables and enable the research job in your officers using the job matrix to gain research points. When the points counter reaches the required amount the tier will be unlocked.
tutorial_station_basics_1	¡Bienvenido a The Spatials: Galactology!\nEsta es tu estación espacial. No es gran cosa en este momento, sólo una sala de teletransporte de emergencia.\nTu misión principal es ampliarla y defenderla para que se convierta en el hogar de los Spatials y una atracción para los visitantes.	2016-07-03T20:30:59.196653	Welcome to The Spatials: Galactology!\nThis is your space station. It's not much right now, just an emergency teleporter room.\nYour primary mission is to build it up and defend it, so it becomes the home of the Spatials and a hot spot for visitors.
tutorial_station_basics_3_1	La barra de herramientas de la izquierda tiene todas las herramientas que necesitas para construir y administrar tu estación. La primera herramienta es la herramienta de Info. Siempre puedes seleccionar esta herramienta pulsando la tecla Esc.	2016-07-03T20:30:59.196653	The left toolbar has all the tools you need to build and manage your station. The first tool is the Info tool. You can always select this tool with the Esc key.
tutorial_station_basics_3_2	Selecciona la herramienta y luego haz clic con el botón izquierdo en cualquier oficial o elemento de la estación.	2016-07-03T20:30:59.196653	Select the tool and then left click on any officer or item on the station.
tutorial_station_basics_4	La herramienta de Info muestra información sobre el objeto seleccionado. También puede ofrecer controles adicionales para cambiar aspectos de dicho objeto, como asignar recetas en una cocina.\nSi el elemento sobre el que deseas hacer clic está detrás de otro elemento, basta con hacer clic sobre el mismo punto una o más veces para recorrer todos los elementos en ese punto.	2016-07-03T20:30:59.196653	The Info tool displays information about the selected object. It can also offer additional controls for changing aspects of that object, like setting the recipe in a kitchen.\nIf the item you want to click is behind another item, just click on the same point one or more times, to cycle thru all items in that point.
tutorial_station_floor_tool_1	La estación se compone de habitaciones unidas por pasillos. Vamos a construir un pasillo.\nSelecciona la herramienta de construir suelos.	2016-07-03T20:30:59.196653	Your station is composed of rooms, linked by corridors. Let's build a corridor.\nSelect the Build floor tool
tutorial_station_floor_tool_2	Selecciona el pasillo.	2016-07-03T20:30:59.196653	Select the corridor floor
tutorial_station_floor_tool_3_1	La herramienta de construcción de suelos dibuja en la estación un plano del suelo seleccionado cuando se arrastra con el botón izquierdo del ratón.\nDibuja un pasillo entre las dos marcas.	2016-07-03T20:30:59.196653	The build floor tool draws a blueprint of the selected floor on the station when you drag with left mouse button.\nDraw a corridor between the two markers.
tutorial_station_floor_tool_4	La herramienta de suelo simplemente dibuja un plano. Para conseguir que el suelo real se construya, se crea un trabajo para tus oficiales. Espera a que terminen.	2016-07-03T20:30:59.196653	The floor tool just draws a blueprint. In order to get the actual floor built a job is created for your officers. Let's wait for them to finish.
tutorial_station_floor_tool_5	¡Hecho! Ahora vamos a construir una habitación. Selecciona el tipo de habitación destacado en la herramienta de construir suelo.	2016-07-03T20:30:59.196653	Done! Let's build a room now. Select the highlighted room type in the floor build tool.
tutorial_station_floor_tool_6	Ahora arrastra con el botón izquierdo del ratón entre las dos marcas. Se trata de una habitación, por lo que la figura dibujada es un rectángulo.	2016-07-03T20:30:59.196653	Now drag with the left mouse button between the two markers. This is a room, so the drawn shape is a rectangle.
tutorial_station_floor_tool_7	Tus oficiales están construyendo la habitación, vamos a esperar a que terminen.	2016-07-03T20:30:59.196653	Your officers are building the room,  let's wait for them to finish.
tutorial_station_floor_tool_8	¡Hecho! Pero las habitaciones vacías no son muy útiles. Vuelve al menú y selecciona el tutorial de la herramienta  de objetos para aprender cómo construir su primera cocina.	2016-07-03T20:30:59.196653	Done! But empty rooms are not very useful. Go back to the menu and select the object tool tutorial to learn how to build your first kitchen.
tutorial_station_object_tool_1	Las habitaciones por si solas no son suficientes para servir a tus oficiales y visitantes. Construyamos algunos objetos.\nSelecciona la herramienta de construcción de objetos.	2016-07-03T20:30:59.196653	Rooms alone are not enough to serve your officers and visitors. Let's build some objects now.\nSelect the Build object tool.
tutorial_station_object_tool_2	La herramienta de objetos muestra todos los objetos desbloqueados y disponibles para construir en la estación . En primer lugar seleccionamos la categoría del objeto. Haz clic en la categoría de comida y bebidas.	2016-07-03T20:30:59.196653	The object tool lists all unlocked objects available for building in the station. First we select the object category. Click on the food & drink category.
tutorial_station_object_tool_3	Ahora haz clic en el objeto resaltado: la Cocina básica.	2016-07-03T20:30:59.196653	Now click on the highlighted object: the basic kitchen.
tutorial_station_object_tool_4	Esta es una cocina básica, y se puede utilizar para cocinar comida barata y sencilla. Para construir una, haz clic en una baldosa de suelo construido. Puede rotar el objeto antes de la construcción utilizando Q y E o arrastrando el ratón una vez que hayas hecho clic para construirlo.\nConstruye una cocina en la baldosa resaltada.	2016-07-03T20:30:59.196653	This is a basic kitchen, and it can be used to cook cheap and simple food. To build one, click on a built floor tile. You can rotate the object before construction using Q and E or by dragging the mouse once you click to build it.\nBuild a kitchen in the highlighted tile.
tutorial_station_object_tool_5	Al igual que la herramienta de suelo, la herramienta de objetos sólo coloca un plano, y el objeto debe ser construido por tus oficiales. Esperar a que terminen el trabajo.	2016-07-03T20:30:59.196653	Just like the floor tool, the object tool only places a blueprint, and the object must be built by your officers. Let's wait for them to finish the job.
tutorial_station_object_tool_6	Los oficiales y los visitantes se negaran a comer y beber en el suelo. Debes construir también una mesa para que puedan disfrutar de sus comidas. Seleccione la mesa de cantina y constrúyela en la baldosa resaltada.	2016-07-03T20:30:59.196653	But officers and visitors will refuse to eat and drink from the floor. You must also build a table for them to enjoy their meals. Select the canteen table and build it on the highlighted tile.
tutorial_station_object_tool_7	Ya tenemos unas instalaciones muy básicas para la comer y beber. Pero todavía tenemos que dar órdenes de producción a nuestra cocina e introducir el concepto de stocking. Lee más en el tutorial de producción y stocks.	2016-07-03T20:30:59.196653	And now we have very basic facilities for food and drinks. But we still have to give production orders to our kitchen, and introduce the concept of stocking. Read more in the stocks and production tutorial.
tutorial_station_production_1	Muchos recursos primarios deben ser procesados ​​antes de que puedan ser utilizados por tus oficiales. Como en la mayoría de las otras tareas de la estación, los oficiales deben tener el trabajo adecuado permitido para trabajar la cocina. Haz clic en la matriz de trabajos.	2016-07-03T20:30:59.196653	Many raw resources must be processed before they can be used by your officers. Like most other tasks in the station, your officers must have the proper job enabled to work the kitchen. Click on the job matrix tool.
tutorial_station_production_2	Aquí puedes ver a tus oficiales listados a la izquierda, con una fila de columnas a la derecha, con celdas para cada combinación de oficial y de trabajo . Asegúrate de que al menos un oficial tiene habilitado el trabajo de cocina y haz clic en Siguiente.	2016-07-03T20:30:59.196653	Here you can see your officers listed on the left, with a row of columns on the right, one cell for every officer and job combination. Make sure at least one officer has Cooking enabled and click Next.
tutorial_station_production_3_1	Ahora vamos a configurar nuestra cocina para preparar algo de comida. Selecciónala con la herramienta de info.	2016-07-03T20:30:59.196653	Now let's set up our kitchen to cook some food. Select it with the info tool.
tutorial_station_production_3_2	Consejo: Pulsa Esc en cualquier momento en la estación para seleccionar la herramienta de info, a continuación, haz clic en cualquier objeto de la estación para ver sus propiedades.	2016-07-03T20:30:59.196653	Tip: Press Esc anytime in the station to enable the info tool, then click on any station object to see its properties.
tutorial_station_production_4	Este es el panel de información para una cocina básica. Contiene un información común, como la pestaña vitals, e información específica, como la pestaña de factoría.\nHaz clic en la pestaña de factoría para continuar.	2016-07-03T20:30:59.196653	This is the info panel for a basic kitchen. It contains some common information, like the vitals tab, and some specific information, like the factory tab.\nClick the factory tab to continue.
tutorial_station_production_7	¡Aquí está! La primera ración cocinada en este asteroide. Pero apilar la comida en el suelo no parece muy buena idea. Continua con el tutorial de stock para aprender acerca de los objetos que pueden mantener stocks de recursos.	2016-07-03T20:30:59.196653	Here it is! The first ration cooked in this asteroid, ever. But pilling food on the floor doesn't look like a good idea. Continue with the stock tutorial to learn about objects that can keep stocks of resources.
tutorial_station_stocks_1	Tener montones de recursos en el suelo funciona, pero no es una situación muy controlable. Por esa razón hay objetos que mantienen un stock interno de recursos. Algunos de ellos incluso pueden requerir de ellos para funcionar.\nConstruyamos un mostrador de comida. Selecciona la herramienta de objetos.	2016-07-03T20:30:59.196653	Keeping piles of resources on the floor works, but it's not a very controllable situation. For this reason there are objects that keep an internal stock of resources. Some of them may even require such stock to work.\nLet's build a food vendor. Select the object tool.
tutorial_station_stocks_10	Ahora selecciona la categoría de instalaciones.	2016-07-03T20:30:59.196653	Now select the facilities category.
tutorial_station_stocks_11	El objeto resaltado es un palé. Los palés son objetos de control de stock para un solo tipo de recurso, como una tienda, pero que se pueden utilizar para la logística. Por ejemplo, si se construye una palé al lado de una factoría, esta utilizará su stock disponible de forma automática. Utiliza palés cuando quieras control preciso de stock de una sola pila de recursos.	2016-07-03T20:30:59.196653	The highlighted object is a pallet. Pallets are stock controlling objects for a single kind of resource, like a shop, but they can be used for logistics. For example, if you build a pallet next to a factory, it will automatically make its stock available to it. Use pallets when you want precise stock control of a single resource stack.
tutorial_station_stocks_12	El objeto resaltado es un área de almacenamiento. Cuando se construye una dentro de la habitación, hace que el suelo de la habitación se convierta en una zona de vertido válida para los artículos y los recursos. También puedes decidir qué tipo de recursos pueden ser descargado en su área, pero no tendrás control de existencias . Utiliza las áreas de almacenamiento para almacenar la carga y la producción a granel.	2016-07-03T20:30:59.196653	The highlighted object is a storage area. When you build one inside the room, it makes the floor of that room a valid dumping area for items and resources. You can also decide which kind of resources can be dumped in its area, but there's no stock control. Use storage areas for storing bulk cargo and production.
tutorial_station_stocks_2	Haz clic en la categoría de comidas y bebidas.	2016-07-03T20:30:59.196653	Click on the food & drink category.
tutorial_station_stocks_3	Ahora haz clic en el objeto resaltado: Comidas de Cantina.	2016-07-03T20:30:59.196653	Now click on the highlighted object: Canteen food.
tutorial_station_stocks_4	Haz clic en la baldosa resaltada para construirlo.	2016-07-03T20:30:59.196653	Click on the highlighted tile to build it.
tutorial_station_stocks_5	Espera a que lo construyan.	2016-07-03T20:30:59.196653	Wait for it to be constructed.
tutorial_station_stocks_6_1	Ahora cambia a la herramienta de info y selecciona el mostrador de comida.	2016-07-03T20:30:59.196653	Now Switch to the info tool and select the food vendor.
tutorial_station_stocks_6_2	Consejo: Pulsa Esc en cualquier momento en la estación para abrir que la herramienta de info, a continuación, haz clic en cualquier objeto de la estación para ver sus propiedades.	2016-07-03T20:30:59.196653	Tip: Press Esc anytime in the station to enable the info tool, then click on any station object to see its properties.
tutorial_station_stocks_7	Selecciona el panel de stocks.	2016-07-03T20:30:59.196653	Select the stocks panel.
tutorial_station_vitals_1	La función principal de la estación es mantener a tus oficiales sanos y salvos. Trabajaran y volverán aquí después de explorar la galaxia, asi que tendrán que satisfacer sus "vitals". Echémosles un vistazo. Selecciona la herramienta de Info, a continuación, hagz clic en cualquier oficial (haz clic más de una vez si hay algo que está delante de ellos).	2016-07-03T20:30:59.196653	The main function of the station is to keep your officers alive and well. They will work here and come back here after exploring the galaxy, and they will need to satisfy their vitals. Let's take a look at them. Select the Info tool, then click on any officer (click more than once if something is in front of them).
tutorial_station_vitals_2	Selecciona el panel de "vitals" si no está ya seleccionado.\nEste panel muestra todos los "vitals" del oficial seleccionado. Poniendo a su disposición alimentos, bebidas, zonas de recreo, y otros sistemas, permitirás que tus oficiales rellenen las barras estén demasiado bajas. No dejes que bajen demasiado, ya que podría afectar a su mente o incluso dañar a su cuerpo.	2016-07-03T20:30:59.196653	Select the Vitals panel if it's not selected already.\nThis panel displays all the vitals of the selected officer. By making available food, drinks, leisure time areas, and other systems, you allow your officers to fill the bars when they get too low. Don't let them get too low, otherwise it could affect their Mind or even damage their body.
tutorial_station_vitals_3	Ahora haz clic en la pestaña de ánimo.	2016-07-03T20:30:59.196653	NOT FOUND IN GAME
tutorial_station_vitals_4	El ánimo de un oficial puede estar influenciado por muchos tipos de cosas. Por ejemplo, tener hambre no sólo puede hacer daño a tu oficial, sino que también puede que le provoque un sentimiento negativo. Puedes ver esos sentimientos listados debajo de la barra. Si la barra de ánimo baja demasiado, pueden perder la ganas de vivir, o llegar a ser violentos.\nContinúa con el siguiente tutorial para empezar la construcción de una cocina.	2016-07-03T20:30:59.196653	The Mind of an officer can be influenced by many kinds of things. For example, being hungry can not only hurt your officer, it will also cause them a negative feeling. You can see those feelings listed under the bar. If your officer Mind bar goes too low, they may loose the will to live, or become violent.\nContinue with the next tutorial to start building a kitchen to take care of your officers.
PR_desc	Encantadores y muy divertidos, tienen éxito convenciendo a sus clientes potenciales sobre lo maravilloso que es todo.	2016-10-14T14:03:39.281009	Charming and fun to be around, they are very successful at convincing potential clients on how great everything is.
absorbtion	Absorción	2016-10-14T14:03:39.281009	Absorbtion
absorbtion_short	Abs	2016-10-14T14:03:39.281009	Abs
action_cooldown	[~A] está en espera	2016-10-14T14:03:39.281009	[~A] is in cooldown
active_absorb	~A absorción	2016-10-14T14:03:39.281009	~A absorb
active_damage	~A-~A daño	2016-10-14T14:03:39.281009	~A-~A damage
active_healing	~A-~A cura	2016-10-14T14:03:39.281009	~A-~A healing
active_item	Ítem activo	2016-10-14T14:03:39.281009	Active item
all	Todos	2016-10-14T14:03:39.281009	All
all_officers	Todos	2016-10-14T14:03:39.281009	All officers
alphabetically	Alfabético	2016-10-14T14:03:39.281009	Alphabetically
amount	Cantidad	2016-10-14T14:03:39.281009	Amount
any_power	Poder (todos)	2016-10-14T14:03:39.281009	Any power
any_slot	Prenda (todas)	2016-10-14T14:03:39.281009	Any slot
armory_locker_desc	Almacena prendas, implantes y armas	2016-10-14T14:03:39.281009	Store armor, implants and weapons
armory_pallet	Armería	2016-10-14T14:03:39.281009	Armory pallet
armory_stored_something	Almacenado ~A	2016-10-14T14:03:39.281009	Stored ~A
ascending	Ascendiendo	2016-10-14T14:03:39.281009	Ascending
attack	Ataca	2016-10-14T14:03:39.281009	Attack
attack_label	Click para usar ~A	2016-10-14T14:03:39.281009	Click to use ~A
auto	Auto	2016-10-14T14:03:39.281009	Auto
auto_combat_false	Controlas a ~A, siempre que su dueño mantenga seleccionado o como parte del equipo	2016-10-14T14:03:39.281009	~A is now controlled by you, as long as the officer is selected or in the squad
auto_combat_true	~A lo controla el oficial automáticamente	2016-10-14T14:03:39.281009	~A is now automatically controlled by the officer
auto_desc	El combate se producirá automáticamente	2016-10-14T14:03:39.281009	Attacking will be done automatically
auto_label	AUTO	2016-10-14T14:03:39.281009	AUTO
auto_owner_change	Nuevo dueño: ~A	2016-10-14T14:03:39.281009	New owner: ~A
available_seat	Asiento disponible	2016-10-14T14:03:39.281009	Available seat
bar_workplace_action	Atender ~A	2016-10-14T14:03:39.281009	NOT FOUND IN GAME
base_spec	Spec base	2016-10-14T14:03:39.281009	Base spec
bed_officer	Cama de oficial	2016-10-14T14:03:39.281009	NOT FOUND IN GAME
bed_officer_desc	Cama de lujo para los oficiales con más experiencia	2016-10-14T14:03:39.281009	NOT FOUND IN GAME
bed_plain	Cama normal	2016-10-14T14:03:39.281009	NOT FOUND IN GAME
bed_workplace_action	Atender a ~A	2016-10-14T14:03:39.281009	NOT FOUND IN GAME
bedofficer	Cama de oficial	2016-10-14T14:03:39.281009	Officer bed
bonus_absorb_short	+Absorción	2016-10-14T14:03:39.281009	NOT FOUND IN GAME
bonus_amt_absorb	Bonus: ~A absorción	2016-10-14T14:03:39.281009	NOT FOUND IN GAME
bonus_amt_damage	Bonus: ~A DPS	2016-10-14T14:03:39.281009	NOT FOUND IN GAME
bonus_amt_healing	Bonus: ~A CPS	2016-10-14T14:03:39.281009	NOT FOUND IN GAME
bonus_amt_health	Bonus: ~A vida	2016-10-14T14:03:39.281009	Bonus: ~A health
bonus_damage_short	+DPS	2016-10-14T14:03:39.281009	NOT FOUND IN GAME
bonus_healing_short	+CPS	2016-10-14T14:03:39.281009	NOT FOUND IN GAME
bonus_health_short	+Vida	2016-10-14T14:03:39.281009	+Health
build_ship_engines	Construir motores de nave	2016-10-14T14:03:39.281009	Build ship engines
build_ship_hull	Construir casco de nave	2016-10-14T14:03:39.281009	Build ship hull
build_ship_lifesupport	Construir soporte de vida de nave	2016-10-14T14:03:39.281009	Build ship life support
build_ship_structure	Construir estructura de nave	2016-10-14T14:03:39.281009	Build ship structure
by_mind	Ánimo	2016-10-14T14:03:39.281009	By Mind
cant_build_blocked	El tile está bloqueado por los cuatro lados	2016-10-14T14:03:39.281009	The tile is blocked on its four sides
cant_build_too_many	Demasiados objetos de este tipo	2016-10-14T14:03:39.281009	Too many objects of this kind
cargo_n	Carga: ~A unidades	2016-10-14T14:03:39.281009	Cargo: ~A units
ceilingturret	Torreta de techo	2016-10-14T14:03:39.281009	Ceiling turret
chef	Chef	2016-10-14T14:03:39.281009	Chef
chef_desc	Capaz de cocinar las recetas más complicadas. Cualquier estación avanzada necesita de chefs para preparar las comidas y bebidas más extravagantes.	2016-10-14T14:03:39.281009	Capable of cooking the most complicated of recipes. Any advanced station needs chefs to make the most extravagant food and drinks.
chemist	Químico	2016-10-14T14:03:39.281009	Chemist
chemist_desc	Fluidos burbujeantes y reacciones controladas son su día a día.	2016-10-14T14:03:39.281009	Bubbly fluids and controlled reactions are their day to day.
chest_item	Ítem de pecho	2016-10-14T14:03:39.281009	Chest item
combat_medic	Combat Medic	2016-10-14T14:03:39.281009	Combat Medic
confirm_cancel_ship_construction	Estás seguro? Si aceptas todo el trabajo existente se perderá.	2016-10-14T14:03:39.281009	Are you sure? If you cancel all the already finished work and resources will be lost.
confirm_evolve_officer	Promocionar ~A a ~A no se puede deshacer! Provocará que ~A sea incapaz de realizar algunos trabajos, al tiempo que lo mejorará en otros. Estás seguro?	2016-10-14T14:03:39.281009	Upgrading ~A to ~A cannot be undone! It will make ~A unable to do some jobs, while being better in others. Are you sure?
confirm_fire_officer	Firing ~A cannot be undone, the officer will be gone forever! Are you sure?	2016-10-14T14:03:39.281009	Firing ~A cannot be undone, the officer will be gone forever! Are you sure?
